127.0.0.1 - - [06/Mar/2018:19:15:01 -0300] "GET / HTTP/1.1" 404 951
95.21.139.174 - - [06/Mar/2018:19:17:50 -0300] "GET /PCRS/static/crs/customForms/css/form.css HTTP/1.1" 200 572
95.21.139.174 - - [06/Mar/2018:19:17:50 -0300] "GET /PCRS/static/crs/customForms/js/custom-form-elements.js HTTP/1.1" 200 6366
95.21.139.174 - - [06/Mar/2018:19:17:50 -0300] "GET /PCRS/static/main/js/jquery.center.js HTTP/1.1" 200 1222
95.21.139.174 - - [06/Mar/2018:19:17:50 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.widget.js HTTP/1.1" 200 7003
95.21.139.174 - - [06/Mar/2018:19:17:50 -0300] "GET /PCRS/static/main/css/jquery-ui-1.8.23/css/ui-lightness/jquery-ui-1.8.23.custom.css HTTP/1.1" 200 33324
95.21.139.174 - - [06/Mar/2018:19:17:50 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.mouse.js HTTP/1.1" 200 4479
95.21.139.174 - - [06/Mar/2018:19:17:50 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.core.js HTTP/1.1" 200 8861
95.21.139.174 - - [06/Mar/2018:19:17:50 -0300] "GET /PCRS/static/crs/css/crs.css HTTP/1.1" 200 58289
95.21.139.174 - - [06/Mar/2018:19:17:51 -0300] "GET /PCRS/static/main/js/jquery.ba-hashchange.js HTTP/1.1" 200 16427
95.21.139.174 - - [06/Mar/2018:19:17:51 -0300] "GET /PCRS/static/main/js/jquery.validate.js HTTP/1.1" 200 35367
95.21.139.174 - - [06/Mar/2018:19:17:51 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.slider.js HTTP/1.1" 200 17570
95.21.139.174 - - [06/Mar/2018:19:17:51 -0300] "GET /PCRS/static/main/js/jquery-ui-1.8.23/development-bundle/ui/jquery.ui.datepicker.js HTTP/1.1" 200 77499
95.21.139.174 - - [06/Mar/2018:19:17:51 -0300] "GET /PCRS/static/crs/images/3EST.png HTTP/1.1" 200 22317
95.21.139.174 - - [06/Mar/2018:19:17:51 -0300] "GET /PCRS/static/crs/images/4EST.png HTTP/1.1" 200 22289
